Unnamed: 0,Timestamp,s1,s2,s1_clean,s2_clean,force_N,athletes_name,protocol_name,protocol_type,leg,elapsed_time_sec
0,1695758189.791095,214229,-101,214229,-101,141.96981517261042,zMax,ISO Quad Extension L,single,left,0.0
1,1695758189.804206,214553,-101,214553,-101,142.2065060450246,zMax,ISO Quad Extension L,single,left,0.0131111145019531
2,1695758189.817384,215016,-101,215016,-101,142.54474022381405,zMax,ISO Quad Extension L,single,left,0.0262889862060546
3,1695758189.8306592,215296,-101,215296,-101,142.74928789133244,zMax,ISO Quad Extension L,single,left,0.0395641326904296
4,1695758189.843676,215315,-101,215315,-101,142.76316791162836,zMax,ISO Quad Extension L,single,left,0.0525808334350585
5,1695758189.857311,215281,-101,215281,-101,142.73832998057256,zMax,ISO Quad Extension L,single,left,0.0662159919738769
6,1695758189.870372,214986,-101,214986,-101,142.5228244022942,zMax,ISO Quad Extension L,single,left,0.0792770385742187
7,1695758189.88362,214749,-101,214749,-101,142.34968941228752,zMax,ISO Quad Extension L,single,left,0.0925250053405761
8,1695758189.896555,214247,-101,214247,-101,141.98296466552233,zMax,ISO Quad Extension L,single,left,0.1054599285125732
9,1695758189.909991,213263,-101,213263,-101,141.26412571967185,zMax,ISO Quad Extension L,single,left,0.1188960075378418
10,1695758189.922954,212953,-101,212953,-101,141.03766223063357,zMax,ISO Quad Extension L,single,left,0.1318590641021728
11,1695758189.93606,212985,-101,212985,-101,141.0610391069214,zMax,ISO Quad Extension L,single,left,0.1449649333953857
12,1695758189.9492218,214055,-101,214055,-101,141.84270340779543,zMax,ISO Quad Extension L,single,left,0.1581268310546875
13,1695758189.962668,214117,-101,214117,-101,141.8879961056031,zMax,ISO Quad Extension L,single,left,0.1715729236602783
14,1695758189.975608,213364,-101,213364,-101,141.3379089854553,zMax,ISO Quad Extension L,single,left,0.1845130920410156
15,1695758189.988647,212640,-101,212640,-101,140.80900715944335,zMax,ISO Quad Extension L,single,left,0.1975519657135009
16,1695758190.001846,212511,-101,212511,-101,140.71476912690807,zMax,ISO Quad Extension L,single,left,0.2107510566711425
