,Timestamp,s1,s2,s1_clean,s2_clean,force_N,athletes_name,protocol_name,protocol_type,leg,elapsed_time_sec
0,1698177898.351246,255644,-101,255644,-101,171.1489252999148,Isaiah Wright,ISO Quad Extension L,single,left,0.0
1,1698177898.3643122,255755,-101,255755,-101,171.2297934545288,Isaiah Wright,ISO Quad Extension L,single,left,0.01306605339050293
2,1698177898.377507,256415,-101,256415,-101,171.71063113061206,Isaiah Wright,ISO Quad Extension L,single,left,0.026260852813720703
3,1698177898.390935,256874,-101,256874,-101,172.04503187806995,Isaiah Wright,ISO Quad Extension L,single,left,0.039688825607299805
4,1698177898.403876,256685,-101,256685,-101,171.90733745264612,Isaiah Wright,ISO Quad Extension L,single,left,0.052629947662353516
5,1698177898.417143,256739,-101,256739,-101,171.94667871705295,Isaiah Wright,ISO Quad Extension L,single,left,0.06589698791503906
6,1698177898.4305768,256925,-101,256925,-101,172.0821875166764,Isaiah Wright,ISO Quad Extension L,single,left,0.0793306827545166
7,1698177898.443756,256858,-101,256858,-101,172.0333752071346,Isaiah Wright,ISO Quad Extension L,single,left,0.09250998497009277
8,1698177898.456334,256327,-101,256327,-101,171.6465194404676,Isaiah Wright,ISO Quad Extension L,single,left,0.1050879955291748
9,1698177898.469325,256091,-101,256091,-101,171.4745835441712,Isaiah Wright,ISO Quad Extension L,single,left,0.11807894706726074
10,1698177898.4825559,256649,-101,256649,-101,171.8811099430416,Isaiah Wright,ISO Quad Extension L,single,left,0.13130974769592285
11,1698177898.495726,258154,-101,258154,-101,172.9775655528981,Isaiah Wright,ISO Quad Extension L,single,left,0.14447999000549316
12,1698177898.509186,258357,-101,258357,-101,173.12545956539037,Isaiah Wright,ISO Quad Extension L,single,left,0.15793991088867188
13,1698177898.5224152,258212,-101,258212,-101,173.01982098503876,Isaiah Wright,ISO Quad Extension L,single,left,0.17116904258728027
14,1698177898.535722,258092,-101,258092,-101,172.93239595302362,Isaiah Wright,ISO Quad Extension L,single,left,0.18447589874267578
15,1698177898.548888,258166,-101,258166,-101,172.98630805609963,Isaiah Wright,ISO Quad Extension L,single,left,0.19764184951782227
16,1698177898.562025,257932,-101,257932,-101,172.8158292436701,Isaiah Wright,ISO Quad Extension L,single,left,0.21077895164489746
17,1698177898.5749261,257772,-101,257772,-101,172.69926253431657,Isaiah Wright,ISO Quad Extension L,single,left,0.2236800193786621
18,1698177898.588296,258036,-101,258036,-101,172.89159760474988,Isaiah Wright,ISO Quad Extension L,single,left,0.23704981803894043
19,1698177898.601225,258256,-101,258256,-101,173.05187683011098,Isaiah Wright,ISO Quad Extension L,single,left,0.24997878074645996
20,1698177898.614306,258264,-101,258264,-101,173.05770516557865,Isaiah Wright,ISO Quad Extension L,single,left,0.2630598545074463
21,1698177898.6277828,257916,-101,257916,-101,172.80417257273476,Isaiah Wright,ISO Quad Extension L,single,left,0.2765367031097412
22,1698177898.640813,256191,-101,256191,-101,171.54743773751713,Isaiah Wright,ISO Quad Extension L,single,left,0.2895669937133789
23,1698177898.653872,255776,-101,255776,-101,171.24509283513146,Isaiah Wright,ISO Quad Extension L,single,left,0.3026258945465088
24,1698177898.667181,255951,-101,255951,-101,171.37258767348686,Isaiah Wright,ISO Quad Extension L,single,left,0.3159348964691162
25,1698177898.680264,256123,-101,256123,-101,171.49789688604187,Isaiah Wright,ISO Quad Extension L,single,left,0.32901787757873535
26,1698177898.693716,256373,-101,256373,-101,171.68003236940675,Isaiah Wright,ISO Quad Extension L,single,left,0.3424699306488037
27,1698177898.705399,-101,-101,256373,-101,171.68003236940675,Isaiah Wright,ISO Quad Extension L,single,left,0.3541529178619385
28,1698177898.718814,255464,-101,255464,-101,171.01778775189212,Isaiah Wright,ISO Quad Extension L,single,left,0.367567777633667
29,1698177898.732141,255573,-101,255573,-101,171.09719882263917,Isaiah Wright,ISO Quad Extension L,single,left,0.38089489936828613
30,1698177898.745258,255266,-101,255266,-101,170.87353644906713,Isaiah Wright,ISO Quad Extension L,single,left,0.3940119743347168
31,1698177898.7584682,254478,-101,254478,-101,170.29944540550105,Isaiah Wright,ISO Quad Extension L,single,left,0.40722203254699707
32,1698177898.771709,253673,-101,253673,-101,169.71296914906617,Isaiah Wright,ISO Quad Extension L,single,left,0.42046284675598145
