Unnamed: 0,Timestamp,s1,s2,s1_clean,s2_clean,force_N,athletes_name,protocol_name,protocol_type,leg,elapsed_time_sec
0,1695758771.955538,135455,-101,135455,-101,84.42325102583577,zMax,ISO Quad Extension R,single,right,0.0
1,1695758771.96862,135649,-101,135649,-101,84.56497333833067,zMax,ISO Quad Extension R,single,right,0.0130820274353027
2,1695758771.982077,136446,-101,136446,-101,85.14720366337421,zMax,ISO Quad Extension R,single,right,0.0265388488769531
3,1695758771.995113,136845,-101,136845,-101,85.43868408958798,zMax,ISO Quad Extension R,single,right,0.0395748615264892
4,1695758772.0081332,136764,-101,136764,-101,85.37951137148444,zMax,ISO Quad Extension R,single,right,0.0525951385498046
5,1695758772.021607,136369,-101,136369,-101,85.09095305480665,zMax,ISO Quad Extension R,single,right,0.0660688877105712
6,1695758772.034873,135741,-101,135741,-101,84.63218185765817,zMax,ISO Quad Extension R,single,right,0.0793349742889404
7,1695758772.0480902,135481,-101,135481,-101,84.44224473781962,zMax,ISO Quad Extension R,single,right,0.0925521850585937
8,1695758772.061298,134927,-101,134927,-101,84.03753256708671,zMax,ISO Quad Extension R,single,right,0.105759859085083
9,1695758772.0743308,134153,-101,134153,-101,83.47210437187506,zMax,ISO Quad Extension R,single,right,0.1187927722930908
10,1695758772.0876522,133546,-101,133546,-101,83.02867424979047,zMax,ISO Quad Extension R,single,right,0.1321141719818115
11,1695758772.1003368,133275,-101,133275,-101,82.83070132872798,zMax,ISO Quad Extension R,single,right,0.1447987556457519
12,1695758772.11394,133473,-101,133473,-101,82.97534575075888,zMax,ISO Quad Extension R,single,right,0.1584019660949707
13,1695758772.127126,133778,-101,133778,-101,83.19815660287716,zMax,ISO Quad Extension R,single,right,0.1715879440307617
14,1695758772.140245,134275,-101,134275,-101,83.56122871272237,zMax,ISO Quad Extension R,single,right,0.1847069263458252
15,1695758772.1533031,134696,-101,134696,-101,83.86878074138401,zMax,ISO Quad Extension R,single,right,0.1977651119232177
16,1695758772.166311,134695,-101,134695,-101,83.86805021400002,zMax,ISO Quad Extension R,single,right,0.2107729911804199
17,1695758772.1793568,134623,-101,134623,-101,83.81545224235242,zMax,ISO Quad Extension R,single,right,0.2238187789916992
18,1695758772.192739,134695,-101,134695,-101,83.86805021400002,zMax,ISO Quad Extension R,single,right,0.2372009754180908
19,1695758772.2058408,133880,-101,133880,-101,83.27267039604459,zMax,ISO Quad Extension R,single,right,0.250302791595459
20,1695758772.2192068,133795,-101,133795,-101,83.21057556840506,zMax,ISO Quad Extension R,single,right,0.2636687755584717
21,1695758772.232329,133698,-101,133698,-101,83.1397144121576,zMax,ISO Quad Extension R,single,right,0.2767908573150635
22,1695758772.245238,133507,-101,133507,-101,83.00018368181469,zMax,ISO Quad Extension R,single,right,0.2897000312805176
23,1695758772.258315,133639,-101,133639,-101,83.09661329650193,zMax,ISO Quad Extension R,single,right,0.3027770519256592
24,1695758772.271511,134281,-101,134281,-101,83.56561187702634,zMax,ISO Quad Extension R,single,right,0.3159730434417724
25,1695758772.284546,134939,-101,134939,-101,84.04629889569466,zMax,ISO Quad Extension R,single,right,0.3290081024169922
26,1695758772.2979069,134698,-101,134698,-101,83.87024179615202,zMax,ISO Quad Extension R,single,right,0.3423688411712646
27,1695758772.31092,134346,-101,134346,-101,83.61309615698597,zMax,ISO Quad Extension R,single,right,0.355381965637207
28,1695758772.3239338,134058,-101,134058,-101,83.4027042703956,zMax,ISO Quad Extension R,single,right,0.3683958053588867
29,1695758772.337042,133853,-101,133853,-101,83.25294615667674,zMax,ISO Quad Extension R,single,right,0.3815038204193115
30,1695758772.350358,133511,-101,133511,-101,83.00310579135065,zMax,ISO Quad Extension R,single,right,0.394819974899292
31,1695758772.363491,133540,-101,133540,-101,83.0242910854865,zMax,ISO Quad Extension R,single,right,0.4079530239105224
32,1695758772.376648,133465,-101,133465,-101,82.96950153168692,zMax,ISO Quad Extension R,single,right,0.4211099147796631
33,1695758772.389803,133647,-101,133647,-101,83.10245751557389,zMax,ISO Quad Extension R,single,right,0.4342648983001709
34,1695758772.403019,133933,-101,133933,-101,83.31138834739629,zMax,ISO Quad Extension R,single,right,0.4474809169769287
35,1695758772.416216,134141,-101,134141,-101,83.46333804326713,zMax,ISO Quad Extension R,single,right,0.4606781005859375
