Unnamed: 0,Timestamp,s1,s2,s1_clean,s2_clean,force_N,athletes_name,protocol_name,protocol_type,leg,elapsed_time_sec
0,1698178369.083649,307057,-101,307057,-101,208.60545172486715,zMax,ISO Quad Extension R,single,right,0.0
1,1698178369.096872,306580,-101,306580,-101,208.25793722260696,zMax,ISO Quad Extension R,single,right,0.0132229328155517
2,1698178369.1100202,305566,-101,305566,-101,207.5191957020791,zMax,ISO Quad Extension R,single,right,0.0263712406158447
3,1698178369.123227,304493,-101,304493,-101,206.73747020747703,zMax,ISO Quad Extension R,single,right,0.0395779609680175
4,1698178369.136509,303346,-101,303346,-101,205.901832609799,zMax,ISO Quad Extension R,single,right,0.0528600215911865
5,1698178369.14828,-101,-101,303346,-101,205.901832609799,zMax,ISO Quad Extension R,single,right,0.0646312236785888
6,1698178369.161672,303406,-101,303406,-101,205.94554512580655,zMax,ISO Quad Extension R,single,right,0.0780229568481445
7,1698178369.174755,304134,-101,304134,-101,206.47592365336507,zMax,ISO Quad Extension R,single,right,0.0911061763763427
8,1698178369.1878452,304336,-101,304336,-101,206.6230891239239,zMax,ISO Quad Extension R,single,right,0.1041963100433349
9,1698178369.201252,303779,-101,303779,-101,206.21729126698696,zMax,ISO Quad Extension R,single,right,0.117603063583374
10,1698178369.214201,302800,-101,302800,-101,205.5040487141301,zMax,ISO Quad Extension R,single,right,0.130552053451538
11,1698178369.2274969,302168,-101,302168,-101,205.04361021218372,zMax,ISO Quad Extension R,single,right,0.1438479423522949
12,1698178369.24068,301067,-101,301067,-101,204.24148554344484,zMax,ISO Quad Extension R,single,right,0.1570310592651367
13,1698178369.2537532,301043,-101,301043,-101,204.22400053704183,zMax,ISO Quad Extension R,single,right,0.1701042652130127
14,1698178369.2667992,302064,-101,302064,-101,204.96784185110397,zMax,ISO Quad Extension R,single,right,0.1831502914428711
15,1698178369.280203,303256,-101,303256,-101,205.83626383578763,zMax,ISO Quad Extension R,single,right,0.1965541839599609
16,1698178369.2932212,304411,-101,304411,-101,206.67772976893335,zMax,ISO Quad Extension R,single,right,0.2095723152160644
17,1698178369.306519,304958,-101,304958,-101,207.07624220653568,zMax,ISO Quad Extension R,single,right,0.2228701114654541
18,1698178369.319666,303935,-101,303935,-101,206.33094380860663,zMax,ISO Quad Extension R,single,right,0.2360169887542724
19,1698178369.332764,302501,-101,302501,-101,205.28621467602576,zMax,ISO Quad Extension R,single,right,0.249114990234375
20,1698178369.346006,301200,-101,301200,-101,204.33838162059496,zMax,ISO Quad Extension R,single,right,0.2623569965362549
21,1698178369.359324,300444,-101,300444,-101,203.7876039188996,zMax,ISO Quad Extension R,single,right,0.2756750583648681
22,1698178369.372158,300357,-101,300357,-101,203.72422077068865,zMax,ISO Quad Extension R,single,right,0.2885091304779053
23,1698178369.385186,300560,-101,300560,-101,203.87211478318088,zMax,ISO Quad Extension R,single,right,0.3015370368957519
24,1698178369.398388,300876,-101,300876,-101,204.1023340341541,zMax,ISO Quad Extension R,single,right,0.3147389888763428
25,1698178369.411274,301683,-101,301683,-101,204.6902673744559,zMax,ISO Quad Extension R,single,right,0.327625036239624
26,1698178369.424563,302496,-101,302496,-101,205.2825719663585,zMax,ISO Quad Extension R,single,right,0.3409140110015869
27,1698178369.4378428,302809,-101,302809,-101,205.5106055915313,zMax,ISO Quad Extension R,single,right,0.3541939258575439
28,1698178369.451183,301153,-101,301153,-101,204.30414014972237,zMax,ISO Quad Extension R,single,right,0.3675341606140136
29,1698178369.464261,300290,-101,300290,-101,203.67540846114684,zMax,ISO Quad Extension R,single,right,0.3806121349334717
30,1698178369.477378,300115,-101,300115,-101,203.5479136227914,zMax,ISO Quad Extension R,single,right,0.3937292098999023
31,1698178369.490616,301186,-101,301186,-101,204.32818203352653,zMax,ISO Quad Extension R,single,right,0.4069671630859375
32,1698178369.5036669,302622,-101,302622,-101,205.3743682499744,zMax,ISO Quad Extension R,single,right,0.4200179576873779
33,1698178369.515657,-101,-101,302622,-101,205.3743682499744,zMax,ISO Quad Extension R,single,right,0.4320080280303955
34,1698178369.528903,303709,-101,303709,-101,206.1662933316448,zMax,ISO Quad Extension R,single,right,0.4452540874481201
35,1698178369.541999,303870,-101,303870,-101,206.2835885829318,zMax,ISO Quad Extension R,single,right,0.4583501815795898
36,1698178369.555159,303759,-101,303759,-101,206.20272042831775,zMax,ISO Quad Extension R,single,right,0.4715101718902588
37,1698178369.568257,302979,-101,302979,-101,205.6344577202194,zMax,ISO Quad Extension R,single,right,0.4846081733703613
38,1698178369.5814888,301821,-101,301821,-101,204.7908061612733,zMax,ISO Quad Extension R,single,right,0.4978399276733398
39,1698178369.5947871,300974,-101,300974,-101,204.17373114363312,zMax,ISO Quad Extension R,single,right,0.5111382007598877
40,1698178369.607842,300413,-101,300413,-101,203.7650191189624,zMax,ISO Quad Extension R,single,right,0.5241930484771729
41,1698178369.620953,300714,-101,300714,-101,203.98431024093364,zMax,ISO Quad Extension R,single,right,0.537304162979126
42,1698178369.634331,300713,-101,300713,-101,203.9835816990002,zMax,ISO Quad Extension R,single,right,0.5506820678710938
43,1698178369.6475048,300397,-101,300397,-101,203.753362448027,zMax,ISO Quad Extension R,single,right,0.5638558864593506
44,1698178369.660518,299900,-101,299900,-101,203.39127710709764,zMax,ISO Quad Extension R,single,right,0.576869010925293
45,1698178369.673635,298135,-101,298135,-101,202.10540059454163,zMax,ISO Quad Extension R,single,right,0.5899860858917236
46,1698178369.686783,297513,-101,297513,-101,201.65224751192983,zMax,ISO Quad Extension R,single,right,0.6031341552734375
47,1698178369.699981,297009,-101,297009,-101,201.28506237746623,zMax,ISO Quad Extension R,single,right,0.6163320541381836
48,1698178369.713229,296600,-101,296600,-101,200.9870887266813,zMax,ISO Quad Extension R,single,right,0.629580020904541
49,1698178369.72651,296031,-101,296031,-101,200.5725483665429,zMax,ISO Quad Extension R,single,right,0.6428611278533936
50,1698178369.739676,295683,-101,295683,-101,200.319015773699,zMax,ISO Quad Extension R,single,right,0.65602707862854
51,1698178369.752815,292810,-101,292810,-101,198.2259147988699,zMax,ISO Quad Extension R,single,right,0.669166088104248
52,1698178369.765815,291335,-101,291335,-101,197.1513154470172,zMax,ISO Quad Extension R,single,right,0.6821660995483398
53,1698178369.7790232,290107,-101,290107,-101,196.25666595272892,zMax,ISO Quad Extension R,single,right,0.6953742504119873
54,1698178369.792188,290055,-101,290055,-101,196.21878177218903,zMax,ISO Quad Extension R,single,right,0.7085390090942383
55,1698178369.805472,290657,-101,290657,-101,196.65736401613165,zMax,ISO Quad Extension R,single,right,0.72182297706604
56,1698178369.818443,291120,-101,291120,-101,196.9946789313234,zMax,ISO Quad Extension R,single,right,0.7347941398620605
57,1698178369.8316631,291070,-101,291070,-101,196.9582518346504,zMax,ISO Quad Extension R,single,right,0.7480142116546631
58,1698178369.844967,290855,-101,290855,-101,196.8016153189566,zMax,ISO Quad Extension R,single,right,0.7613179683685303
59,1698178369.858048,291105,-101,291105,-101,196.9837508023215,zMax,ISO Quad Extension R,single,right,0.7743990421295166
60,1698178369.87116,290948,-101,290948,-101,196.86936971876835,zMax,ISO Quad Extension R,single,right,0.7875111103057861
61,1698178369.884168,290293,-101,290293,-101,196.3921747523524,zMax,ISO Quad Extension R,single,right,0.8005189895629883
62,1698178369.897462,290443,-101,290443,-101,196.50145604237133,zMax,ISO Quad Extension R,single,right,0.8138132095336914
63,1698178369.9102778,291731,-101,291731,-101,197.43981805266716,zMax,ISO Quad Extension R,single,right,0.8266289234161377
64,1698178369.923521,292796,-101,292796,-101,198.21571521180147,zMax,ISO Quad Extension R,single,right,0.8398721218109131
65,1698178369.936916,293191,-101,293191,-101,198.503489275518,zMax,ISO Quad Extension R,single,right,0.8532669544219971
66,1698178369.950173,293130,-101,293130,-101,198.4590482175769,zMax,ISO Quad Extension R,single,right,0.8665239810943604
67,1698178369.963277,292459,-101,292459,-101,197.97019658022563,zMax,ISO Quad Extension R,single,right,0.8796281814575195
68,1698178369.976426,292303,-101,292303,-101,197.856544038606,zMax,ISO Quad Extension R,single,right,0.8927769660949707
69,1698178369.989692,292178,-101,292178,-101,197.7654762969235,zMax,ISO Quad Extension R,single,right,0.9060430526733398
70,1698178370.002681,291638,-101,291638,-101,197.3720636528554,zMax,ISO Quad Extension R,single,right,0.919032096862793
71,1698178370.0160818,290919,-101,290919,-101,196.84824200269804,zMax,ISO Quad Extension R,single,right,0.9324328899383544
72,1698178370.027883,-101,-101,290919,-101,196.84824200269804,zMax,ISO Quad Extension R,single,right,0.9442341327667236
73,1698178370.041291,290132,-101,290132,-101,196.27487950106544,zMax,ISO Quad Extension R,single,right,0.9576420783996582
74,1698178370.05427,288862,-101,288862,-101,195.34963124557189,zMax,ISO Quad Extension R,single,right,0.9706211090087892
75,1698178370.0673652,287767,-101,287767,-101,194.55187782843373,zMax,ISO Quad Extension R,single,right,0.9837162494659424
